tag.code,tagger,release
G7213797D,tagger.A,early
G72139994,tagger.A,early
G7213B297,tagger.A,early
G7213EBD0,tagger.A,early
G72141637,tagger.A,early
G721443D3,tagger.A,early
G7214534E,tagger.A,early
G72147BAF,tagger.A,early
G72149E79,tagger.A,early
G7214E1C0,tagger.A,early
G72152713,tagger.A,early
G72155068,tagger.A,early
G72155F29,tagger.A,early
G7215704B,tagger.A,early
G72157A35,tagger.A,early
G72157DB6,tagger.A,early
G72158283,tagger.A,early
G721583DD,tagger.A,early
G7215993E,tagger.A,early
G72159EBD,tagger.A,early
G7215A3FE,tagger.A,early
G7215ADE1,tagger.A,early
G7215BE9E,tagger.A,early
G7215FC64,tagger.A,early
G721601B8,tagger.A,early
G72163058,tagger.A,early
G72163DA5,tagger.A,early
G7216459F,tagger.A,early
G72168CC9,tagger.A,early
G7216B5EB,tagger.A,early
G7216B948,tagger.A,early
G7216C44D,tagger.A,early
G7216C7AF,tagger.A,early
G7216CF6D,tagger.A,early
G7216D4D0,tagger.A,early
G7216E46E,tagger.A,early
G7216F5AD,tagger.A,early
G7216F64F,tagger.A,early
G72170C81,tagger.A,early
G72171B9F,tagger.A,early
G721731C2,tagger.A,early
G7217583B,tagger.A,early
G72175D04,tagger.A,early
G72176426,tagger.A,early
G72178EB1,tagger.A,early
G7217AD70,tagger.A,early
G7217BB30,tagger.A,early
G7217D6A8,tagger.A,early
G7217DD88,tagger.A,early
G72183E9B,tagger.A,early
G7218441D,tagger.A,early
G7218719C,tagger.A,early
G7218C832,tagger.A,early
G7218EAAD,tagger.A,early
G72190623,tagger.A,early
G72192183,tagger.A,early
G721964FA,tagger.A,early
G72196BBB,tagger.A,early
G7219976C,tagger.A,early
G72199EF0,tagger.A,early
G7219F848,tagger.A,early
G721AA787,tagger.A,early
G721AAA7A,tagger.A,early
G721AAE1B,tagger.A,early
G721AC2DD,tagger.A,early
G721AEA3C,tagger.A,early
G721AEB62,tagger.A,early
G721B10F2,tagger.A,early
G721B1C51,tagger.A,early
G721B2A32,tagger.A,early
G721B2E53,tagger.A,early
G721B3813,tagger.A,early
G721B394D,tagger.A,early
G721B49B5,tagger.A,early
G721B5B94,tagger.A,early
G721B66D7,tagger.A,early
G721B7D6A,tagger.A,early
G721B85DC,tagger.A,early
G721BBCFE,tagger.A,early
G721BBE42,tagger.A,early
G721BD038,tagger.A,early
G721BDF79,tagger.A,early
G721BF987,tagger.A,early
G721C08C3,tagger.A,early
G721C14FD,tagger.A,early
G721C185E,tagger.A,early
G721C1D61,tagger.A,early
G721C2022,tagger.A,early
G721C26FF,tagger.A,early
G721C4119,tagger.A,early
G721C4B67,tagger.A,early
G721CBB13,tagger.A,early
G721CF414,tagger.A,early
G721D4D7E,tagger.A,early
G721DAB4A,tagger.A,early
G721DDFD3,tagger.A,early
G721E0BB0,tagger.A,early
G721E2B93,tagger.A,early
G721E52F7,tagger.A,early
G721E8A62,tagger.A,early
G721E8B3C,tagger.A,early
G721EA3DD,tagger.A,early
G721EB721,tagger.A,early
G721EBC01,tagger.A,early
G721ECE45,tagger.A,early
G721EE127,tagger.A,early
G72201960,tagger.A,early
G7220333D,tagger.A,early
G7220375C,tagger.A,early
G7220381D,tagger.A,early
G72205206,tagger.A,early
G72206A7A,tagger.A,early
G72207644,tagger.A,early
G7220A74D,tagger.A,early
G7220B891,tagger.A,early
G7220CFEA,tagger.A,early
G7220DA48,tagger.A,early
G7220E234,tagger.A,early
G7220E36A,tagger.A,early
G7220F52A,tagger.A,early
G7220FA6B,tagger.A,early
G722100A5,tagger.A,early
G722117BB,tagger.A,early
G72211F79,tagger.A,early
G7221265B,tagger.A,early
G722136C6,tagger.A,early
G72216322,tagger.A,early
G7221958B,tagger.A,early
G7221C550,tagger.A,early
G7221CCCC,tagger.A,early
G7221FC72,tagger.A,early
G7221FF90,tagger.A,early
G7222062D,tagger.A,early
G722224B2,tagger.A,early
G7222260E,tagger.A,early
G72222ECC,tagger.A,early
G722232F2,tagger.A,early
G72223DB3,tagger.A,early
G72223E51,tagger.A,early
G722265AA,tagger.A,early
G72226BB5,tagger.A,early
G7222E3FB,tagger.A,early
G722314C8,tagger.A,early
G72231EB6,tagger.A,early
G722351B1,tagger.A,early
G72235253,tagger.A,early
G7223610F,tagger.A,early
G7223656E,tagger.A,early
G722369CD,tagger.A,early
G72237C6F,tagger.A,early
G7223835A,tagger.A,early
G7223B99A,tagger.A,early
G7223F040,tagger.A,early
G722435DB,tagger.A,early
G72243639,tagger.A,early
G7224447D,tagger.A,early
G7224767F,tagger.A,early
G72248814,tagger.A,early
G722497C8,tagger.A,early
G7224A317,tagger.A,early
G7224AA8B,tagger.A,early
G7224C90C,tagger.A,early
G7224CBB0,tagger.A,early
G7224D532,tagger.A,early
G7224E871,tagger.A,early
G7224EFF2,tagger.A,early
G72251A7D,tagger.A,early
G72253DDD,tagger.A,early
G72254F99,tagger.A,early
G72256D06,tagger.A,early
G7225984D,tagger.A,early
G72259C2C,tagger.A,early
G7225E2CB,tagger.A,early
G7225F308,tagger.A,early
G7225FFAB,tagger.A,early
G722605F4,tagger.A,early
G72262FA9,tagger.A,early
G72265793,tagger.A,early
G72268047,tagger.A,early
G722689DB,tagger.A,early
G72268B67,tagger.A,early
G72268DBA,tagger.A,early
G72269266,tagger.A,early
G72269F9B,tagger.A,early
G7226AE7B,tagger.A,early
G7226BEE6,tagger.A,early
G7226C15F,tagger.A,early
G7226C782,tagger.A,early
G7226D5A3,tagger.A,early
G7226FAC1,tagger.A,early
G72272290,tagger.A,early
G72272513,tagger.A,early
G72272DD1,tagger.A,early
G722766B7,tagger.A,early
G722770F7,tagger.A,early
G722771A9,tagger.A,early
G72277D0A,tagger.A,early
G72278FC2,tagger.A,early
G722793FC,tagger.A,early
G7227B6E0,tagger.A,early
G7227E1B8,tagger.A,late
G7227E97A,tagger.A,late
G72280B37,tagger.A,late
G7228216A,tagger.A,late
G722827B7,tagger.A,late
G722855F3,tagger.A,late
G722869EE,tagger.A,late
G72286D8F,tagger.A,late
G72288C38,tagger.A,late
G722892BA,tagger.A,late
G72289785,tagger.A,late
G72289CA5,tagger.A,late
G7228D421,tagger.A,late
G7228D57F,tagger.A,late
G7228DB60,tagger.A,late
G7228E1A0,tagger.A,late
G7229094F,tagger.A,late
G72290ECC,tagger.A,late
G72291CED,tagger.A,late
G7229262D,tagger.A,late
G72292A8E,tagger.A,late
G722941CB,tagger.A,late
G72294C36,tagger.A,late
G72295156,tagger.A,late
G72295B28,tagger.A,late
G72297A55,tagger.A,late
G7229995E,tagger.A,late
G7229F598,tagger.A,late
G7229F865,tagger.A,late
G722A1DE6,tagger.A,late
G722A65DC,tagger.A,late
G722A76A3,tagger.A,late
G722A79E2,tagger.A,late
G722A7F3F,tagger.A,late
G722A8E15,tagger.A,late
G722A95A8,tagger.A,late
G722AA029,tagger.A,late
G722AAE36,tagger.A,late
G722AB0B4,tagger.A,late
G722ABEAB,tagger.A,late
G722AC2F0,tagger.A,late
G722ACE53,tagger.A,late
G722AD333,tagger.A,late
G722B0A3C,tagger.A,late
G722B0DBF,tagger.A,late
G722B14BE,tagger.A,late
G722B1F9E,tagger.A,late
G722B26BC,tagger.A,late
G722B2D9C,tagger.A,late
G722B331E,tagger.A,late
G722B3A82,tagger.A,late
G722B6C84,tagger.A,late
G722B7358,tagger.A,late
G722B7878,tagger.A,late
G722B80CE,tagger.A,late
G722B8613,tagger.A,late
G722BAFAC,tagger.A,late
G722BDE0A,tagger.A,late
G722C1873,tagger.A,late
G722C246E,tagger.A,late
G722C4E75,tagger.A,late
G722C821C,tagger.A,late
G722C893C,tagger.A,late
G722CAC20,tagger.A,late
G722CD125,tagger.A,late
G722D2329,tagger.A,late
G722D670E,tagger.A,late
G722D714E,tagger.A,late
G722D72AC,tagger.A,late
G722DD0BF,tagger.A,late
G722DDAC1,tagger.A,late
G722DE460,tagger.A,late
G722E7DB8,tagger.A,late
G722E8A4F,tagger.A,late
G722E986E,tagger.A,late
G722EACB1,tagger.A,late
G722EB70C,tagger.A,late
G722EEDA9,tagger.A,late
G722EF614,tagger.A,late
G722EFED6,tagger.A,late
G722F0E66,tagger.A,late
G722F601C,tagger.A,late
G722F62A0,tagger.A,late
G722F7363,tagger.A,late
G722F8D08,tagger.A,late
G722FA4B7,tagger.A,late
G722FAC75,tagger.A,late
G722FD511,tagger.A,late
G722FE372,tagger.A,late
G722FF8CF,tagger.A,late
G723001D3,tagger.A,late
G723004EC,tagger.A,late
G72300AF3,tagger.A,late
G7230198C,tagger.A,late
G72303F72,tagger.A,late
G72306254,tagger.A,late
G72306635,tagger.A,late
G7230676B,tagger.A,late
G7230815F,tagger.A,late
G72309AE2,tagger.A,late
G7230AC81,tagger.A,late
G7230AF63,tagger.A,late
G7230B4DE,tagger.A,late
G72310049,tagger.A,late
G72311268,tagger.A,late
G723122D6,tagger.A,late
G72314530,tagger.A,late
G72315711,tagger.A,late
G72316A52,tagger.A,late
G723170B1,tagger.A,late
G72319F19,tagger.A,late
G7231BD86,tagger.A,late
G7231DDE3,tagger.A,late
G7231E1FE,tagger.A,late
G7231F163,tagger.A,late
G7232001C,tagger.A,late
G72320E03,tagger.A,late
G723243B8,tagger.A,late
G72325744,tagger.A,late
G72325C64,tagger.A,late
G723270E4,tagger.A,late
G72327767,tagger.A,late
G72327BC4,tagger.A,late
G7232AFF2,tagger.A,late
G7232D574,tagger.A,late
G7232E969,tagger.A,late
G7232F38A,tagger.A,late
G7232F9F4,tagger.A,late
G7233111B,tagger.A,late
G7233249A,tagger.A,late
G723332DA,tagger.A,late
G72333F27,tagger.A,late
G7233553C,tagger.A,late
G72335F42,tagger.A,late
G723378E2,tagger.A,late
G72338689,tagger.A,late
G7233B256,tagger.A,late
G7233BC49,tagger.A,late
G7233C791,tagger.A,late
G7233CE0D,tagger.A,late
G7233E9AD,tagger.A,late
G7233FAD2,tagger.A,late
G723432B4,tagger.A,late
G72343994,tagger.A,late
G72343E17,tagger.A,late
G72345133,tagger.A,late
G723464B2,tagger.A,late
G7234694F,tagger.A,late
G72348DC7,tagger.A,late
G72348F7B,tagger.A,late
G72349345,tagger.A,late
G7234AF58,tagger.A,late
G7234B707,tagger.A,late
G7234DD1C,tagger.A,late
G7234F741,tagger.A,late
G7234FABC,tagger.A,late
G72351973,tagger.A,late
G723554C8,tagger.A,late
G723568D5,tagger.A,late
G72356DEA,tagger.A,late
G72358623,tagger.A,late
G723596BE,tagger.A,late
G7235B7C3,tagger.A,late
G7235F539,tagger.A,late
G723614DB,tagger.A,late
G72363099,tagger.A,late
G7236531E,tagger.A,late
G72365EE3,tagger.A,late
G72366B62,tagger.A,late
G72366F03,tagger.A,late
G7236A088,tagger.A,late
G7236B015,tagger.A,late
G7236B2A9,tagger.A,late
G7236BE0A,tagger.A,late
G7236C76E,tagger.A,late
G7236E613,tagger.A,late
G7236EBEE,tagger.A,late
G7236F68E,tagger.A,late
G7236FB73,tagger.A,late
G72370301,tagger.A,late
G72374867,tagger.A,late
G72375507,tagger.A,late
G7237623A,tagger.A,late
G72379A8C,tagger.A,late
G72379C51,tagger.A,late
G7237AE53,tagger.A,late
G7237B813,tagger.A,late
G7237D356,tagger.A,late
G7237E154,tagger.A,late
G7237F097,tagger.A,late
G7237F64A,tagger.A,late
G723800FB,tagger.A,late
G72381407,tagger.A,late
G72383DB8,tagger.A,late
G723840BD,tagger.A,late
G72384FFC,tagger.A,late
G723853C2,tagger.A,late
G723857A3,tagger.A,late
G7238609E,tagger.A,late
G72388CD4,tagger.A,late
G7238B5F6,tagger.A,late
G7238D0AC,tagger.A,late
G7238DB8C,tagger.A,late
G7238DFED,tagger.A,late
G7238EB32,tagger.A,late
G7238FAF1,tagger.A,late
G72391721,tagger.A,late
G72391EBD,tagger.A,late
G72393AFF,tagger.A,late
G72397C64,tagger.A,late
G72398C10,tagger.A,late
G72399E31,tagger.A,late
G7239A372,tagger.A,late
G7239B46C,tagger.A,late
G7239BB2D,tagger.A,late
G7239D409,tagger.A,late
G7239D8AA,tagger.A,late
G7239F7C8,tagger.A,late
G723A35EB,tagger.A,late
G723A3F95,tagger.A,late
