tag_code,tagger_name_xlat,bucket,lot,species_code,length,weight,pit_code,tag_date,tag_activate_date,tag_release_date,release_location,release_location_xlat,release_location_river_kilometer,release_location_latitude,release_location_longitude,mort_xlat,pri,tag_AssignedRelease,char_SurvivalUse,tag_Status,,
G72051F83,A,7,1,11H,161,41,,4/22/2021 0:00,4/21/2021 13:24,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7205BF2C,A,3,1,11H,149,33.5,,4/22/2021 0:00,4/21/2021 13:38,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G720720ED,A,3,1,11H,137,25,,4/22/2021 0:00,4/21/2021 13:17,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G720BF24B,A,4,1,11H,140,27,,4/22/2021 0:00,4/21/2021 13:39,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7214AD25,A,3,1,11W,125,21,,4/22/2021 0:00,4/21/2021 13:16,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G721633BA,A,1,1,11H,146,30.5,,4/22/2021 0:00,4/21/2021 13:34,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72179E2C,A,2,1,11H,156,38,,4/22/2021 0:00,4/21/2021 13:15,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G721A04CA,A,5,1,11H,148,31,,4/22/2021 0:00,4/21/2021 13:21,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G721E79F4,A,9,1,11H,132,23,,4/22/2021 0:00,4/21/2021 13:48,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7223BF47,A,9,1,11H,135,25,,4/22/2021 0:00,4/21/2021 13:28,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G722471FC,A,8,1,11H,145,31,,4/22/2021 0:00,4/21/2021 13:47,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7224B38A,A,2,1,11H,140,29.5,,4/22/2021 0:00,4/21/2021 13:14,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7227A4C1,A,5,1,11H,157,38.5,,4/22/2021 0:00,4/21/2021 13:20,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G722EA3F0,A,9,1,11H,141,27.5,,4/22/2021 0:00,4/21/2021 13:27,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G723761D8,A,10,1,11H,157,43,,4/22/2021 0:00,4/21/2021 13:30,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7237E154,A,6,1,11H,163,43,,4/22/2021 0:00,4/21/2021 13:22,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72389EF5,A,4,1,11H,148,31.5,,4/22/2021 0:00,4/21/2021 13:19,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G723A02D6,A,8,1,11W,148,32.5,,4/22/2021 0:00,4/21/2021 13:25,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G723BE69A,A,10,1,11H,155,40.5,,4/22/2021 0:00,4/21/2021 13:29,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7244A213,A,2,1,11H,155,35,,4/22/2021 0:00,4/21/2021 13:35,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7254310C,A,2,1,11H,146,28.5,,4/22/2021 0:00,4/21/2021 13:36,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72551C16,A,4,1,11H,152,35.5,,4/22/2021 0:00,4/21/2021 13:18,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72559285,A,11,1,11W,155,34.5,,4/22/2021 0:00,4/21/2021 13:32,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G7258B64E,A,8,1,11H,167,47,,4/22/2021 0:00,4/21/2021 13:26,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G725A26CE,A,7,1,11H,156,36.5,,4/22/2021 0:00,4/21/2021 13:23,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G726942B2,A,9,1,11H,148,29.5,,4/22/2021 0:00,4/21/2021 13:48,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G726A4B7B,A,8,1,11H,168,46.5,,4/22/2021 0:00,4/21/2021 13:46,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G726BAE69,A,3,1,11H,138,27,,4/22/2021 0:00,4/21/2021 13:37,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G727604DD,A,1,1,11H,123,19.5,,4/22/2021 0:00,4/21/2021 13:12,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G728EBE7E,A,7,1,11H,160,43.5,,4/22/2021 0:00,4/21/2021 13:43,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G728EEEA5,A,10,1,11H,128,23,,4/22/2021 0:00,4/21/2021 13:49,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72973ACD,A,6,1,11H,147,34.5,,4/22/2021 0:00,4/21/2021 13:22,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G729C1871,A,4,1,11H,158,41,,4/22/2021 0:00,4/21/2021 13:40,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G729D0BCA,A,1,1,11W,139,26.5,,4/22/2021 0:00,4/21/2021 13:09,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72A9A432,A,7,1,11H,139,25,,4/22/2021 0:00,4/21/2021 13:45,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
G72AF42AC,A,10,1,11H,163,46.5,,4/22/2021 0:00,4/21/2021 13:50,4/23/2021 9:00,Rocky Reach Tailrace,Rocky Reach Tailrace - CHINOOK,762,47.527933,-120.297484,0,3,RR01,1,Active - General,,
