tag_life_days
1.09
3.06
7.2
8.8
9.03
11.58
11.61
12.32
13.49
14.25
15.92
15.94
18.15
18.31
18.71
19.08
19.17
19.4
19.79
20.05
20.18
20.28
20.31
20.51
20.73
20.85
21.74
22.13
22.36
22.49
22.86
22.87
23.54
23.62
23.87
24.16
24.18
24.37
24.55
24.91
25.12
25.34
25.85
26.05
26.79
27.01
27.15
27.41
27.42
27.66
27.82
27.84
28.15
28.23
28.25
29.08
29.1
29.25
29.37
30.04
30.79
32.02
32.25
32.97
