tag_life_days
8.83
27.63
30.38
31.54
31.71
31.92
32
32.04
32.5
32.96
33.25
33.25
33.29
33.29
33.63
33.71
33.75
33.79
33.83
34.21
34.33
34.46
34.54
34.96
34.96
34.96
35
35.13
35.21
35.25
35.5
35.5
35.67
35.79
35.96
35.96
36.13
36.13
36.21
36.29
36.29
36.33
37
37.21
37.25
37.38
38.46
38.5
40.63
