tag_code,tagger_name,bucket,lot,species_code,length,weight,pit_code,tag_date,activation_date,release_date,release_location,release_river_km,mortality,tag_AssignedRelease
G72AF42AC,A,10,1,11H,163,46.5,,4/22/2021 0:00,4/21/2021 13:50,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72B8B0E6,A,11,1,11W,130,23,,4/22/2021 0:00,4/21/2021 13:31,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72B8DBA3,A,1,1,11H,179,54,,4/22/2021 0:00,4/21/2021 13:33,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72058BF3,A,6,1,11W,160,42,,4/24/2021 0:00,4/23/2021 15:00,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G721591FC,A,4,1,11H,179,60,,4/24/2021 0:00,4/23/2021 14:57,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G7216AB69,A,9,1,11H,158,39.5,,4/24/2021 0:00,4/23/2021 14:43,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G721AD77F,A,5,1,11H,187,64,,4/24/2021 0:00,4/23/2021 14:59,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G7220CB8B,A,7,1,11H,156,38.5,,4/24/2021 0:00,4/23/2021 15:01,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72298B7F,A,1,1,11H,173,50.5,,4/24/2021 0:00,4/23/2021 14:52,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G722A3A46,A,12,1,11H,160,41.5,,4/24/2021 0:00,4/23/2021 14:50,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G722CF89A,A,11,1,11H,127,21.5,,4/24/2021 0:00,4/23/2021 14:47,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G722DA3A5,A,3,1,11H,148,39.5,,4/24/2021 0:00,4/23/2021 14:22,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G722E64B9,A,2,1,11H,153,35,,4/24/2021 0:00,4/23/2021 14:54,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G7234BAFA,A,4,1,11H,150,34,,4/24/2021 0:00,4/23/2021 14:28,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G723FBEB8,A,6,1,11H,125,21,,4/24/2021 0:00,4/23/2021 14:31,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72464C74,A,6,1,11H,152,36.5,,4/24/2021 0:00,4/23/2021 14:59,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G7248D8D8,A,4,1,11H,130,24.5,,4/24/2021 0:00,4/23/2021 14:57,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G724B978A,A,3,1,11H,200,87,,4/24/2021 0:00,4/23/2021 14:21,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G724F5D05,A,8,1,11H,140,27,,4/24/2021 0:00,4/23/2021 14:41,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G7250A8BA,A,3,1,11H,167,42.5,,4/24/2021 0:00,4/23/2021 14:55,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G725425F0,A,1,1,11W,150,33,,4/24/2021 0:00,4/23/2021 14:18,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G725930DB,A,11,1,11H,156,38,,4/24/2021 0:00,4/23/2021 14:48,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G725A11F3,A,6,1,11H,165,44,,4/24/2021 0:00,4/23/2021 14:33,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G725CBD55,A,5,1,11H,158,40.5,,4/24/2021 0:00,4/23/2021 14:58,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G726997DA,A,7,1,11H,123,18.5,,4/24/2021 0:00,4/23/2021 15:03,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G726A66A5,A,9,1,11H,143,33.5,,4/24/2021 0:00,4/23/2021 14:45,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G726DEFDB,A,12,1,11H,150,35,,4/24/2021 0:00,4/23/2021 14:50,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72784B06,A,10,1,11H,149,33.5,,4/24/2021 0:00,4/23/2021 14:45,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72785C18,A,5,1,11H,193,83,,4/24/2021 0:00,4/23/2021 14:30,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G727A2AAC,A,7,1,11H,163,45,,4/24/2021 0:00,4/23/2021 14:40,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G7280C11B,A,5,1,11H,135,24,,4/24/2021 0:00,4/23/2021 14:29,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72877F58,A,3,1,11H,173,52,,4/24/2021 0:00,4/23/2021 14:54,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G728E4B35,A,8,1,11H,143,31.5,,4/24/2021 0:00,4/23/2021 14:42,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G729DACE6,A,7,1,11H,166,48,,4/24/2021 0:00,4/23/2021 14:38,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72A03C53,A,4,1,11H,170,48,,4/24/2021 0:00,4/23/2021 14:23,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72A2D1D6,A,1,1,11H,152,35,,4/24/2021 0:00,4/23/2021 14:17,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72A3E24E,A,2,1,11H,150,33,,4/24/2021 0:00,4/23/2021 14:53,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72ADA8AA,A,2,1,11H,137,25,,4/24/2021 0:00,4/23/2021 14:20,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72B065F8,A,1,1,11H,122,18.5,,4/24/2021 0:00,4/23/2021 14:51,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72B0C7EB,A,10,1,11H,150,37,,4/24/2021 0:00,4/23/2021 14:46,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72B10CC5,A,2,1,11H,188,70,,4/24/2021 0:00,4/23/2021 14:20,4/25/2021 9:03,Rocky Reach Tailrace,762,0,RR02
G72032755,A,7,1,11H,165,46,,4/26/2021 0:00,4/25/2021 11:04,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7210F038,A,8,1,11H,179,57.5,,4/26/2021 0:00,4/25/2021 10:51,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7210FF79,A,3,1,11H,149,35,,4/26/2021 0:00,4/25/2021 11:00,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G721D00C5,A,3,1,11H,125,22.5,,4/26/2021 0:00,4/25/2021 10:45,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7223DA1D,A,6,1,11W,160,34,,4/26/2021 0:00,4/25/2021 11:02,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72255698,A,2,1,11H,129,25,,4/26/2021 0:00,4/25/2021 10:44,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72266AD0,A,2,1,11H,147,35,,4/26/2021 0:00,4/25/2021 10:59,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7228A204,A,11,1,11H,183,62.5,,4/26/2021 0:00,4/25/2021 10:56,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G722BA630,A,1,1,11H,193,73.5,,4/26/2021 0:00,4/25/2021 10:43,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G722C7F95,A,7,1,11H,134,24.5,,4/26/2021 0:00,4/25/2021 11:03,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72315C31,A,3,1,11H,142,29,,4/26/2021 0:00,4/25/2021 11:00,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7238DEB3,A,7,1,11H,133,24,,4/26/2021 0:00,4/25/2021 10:50,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72419BCE,A,10,1,11W,152,41,,4/26/2021 0:00,4/25/2021 10:55,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7244DB77,A,1,1,11H,145,30.5,,4/26/2021 0:00,4/25/2021 10:58,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G724785E6,A,6,1,11H,193,85.5,,4/26/2021 0:00,4/25/2021 10:50,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7248F9A5,A,2,1,11H,147,36.5,,4/26/2021 0:00,4/25/2021 10:45,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G724C8627,A,5,1,11H,185,64,,4/26/2021 0:00,4/25/2021 11:01,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7251D7C7,A,3,1,11H,167,49.5,,4/26/2021 0:00,4/25/2021 10:46,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G725267A0,A,1,1,11W,149,40,,4/26/2021 0:00,4/25/2021 10:43,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72544348,A,11,1,11H,135,27.5,,4/26/2021 0:00,4/25/2021 10:56,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7255E5FE,A,8,1,11H,132,25.5,,4/26/2021 0:00,4/25/2021 10:52,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7261B78F,A,9,1,11H,143,29.5,,4/26/2021 0:00,4/25/2021 10:53,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72682D52,A,5,1,11W,139,27.5,,4/26/2021 0:00,4/25/2021 10:49,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7271188D,A,4,1,11H,156,38,,4/26/2021 0:00,4/25/2021 11:01,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7274B47E,A,6,1,11W,137,27.5,,4/26/2021 0:00,4/25/2021 10:49,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7278C4CB,A,9,1,11H,143,29.5,,4/26/2021 0:00,4/25/2021 10:54,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72839BEB,A,12,1,11H,147,35.5,,4/26/2021 0:00,4/25/2021 10:57,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G728B32AE,A,8,1,11H,156,39.5,,4/26/2021 0:00,4/25/2021 11:04,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G728F16D7,A,5,1,11H,161,42.5,,4/26/2021 0:00,4/25/2021 10:48,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7297CAB9,A,4,1,11H,166,52,,4/26/2021 0:00,4/25/2021 10:47,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G7298B179,A,5,1,11H,173,54.5,,4/26/2021 0:00,4/25/2021 11:02,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G729C6E54,A,7,1,11H,164,42.5,,4/26/2021 0:00,4/25/2021 10:51,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72A831D8,A,12,1,11H,143,32.5,,4/26/2021 0:00,4/25/2021 10:58,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72ADDFD1,A,6,1,11H,144,30,,4/26/2021 0:00,4/25/2021 11:03,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72B68E9B,A,8,1,11H,139,30,,4/26/2021 0:00,4/25/2021 11:05,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72B87290,A,10,1,11H,153,35.5,,4/26/2021 0:00,4/25/2021 10:55,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72B8889A,A,2,1,11H,165,48,,4/26/2021 0:00,4/25/2021 10:59,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72B9C759,A,4,1,11H,131,23,,4/26/2021 0:00,4/25/2021 10:48,4/27/2021 8:59,Rocky Reach Tailrace,762,0,RR03
G72032EC9,B,4,1,11H,183,62,,4/28/2021 0:00,4/27/2021 14:46,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7203A687,B,10,1,11H,153,36.5,,4/28/2021 0:00,4/27/2021 15:02,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G720A1818,B,2,1,11H,149,33.5,,4/28/2021 0:00,4/27/2021 14:37,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G720D5310,B,7,1,11W,148,36.5,,4/28/2021 0:00,4/27/2021 15:22,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G720E29C3,B,7,1,11H,142,29,,4/28/2021 0:00,4/27/2021 14:53,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G720F56BE,B,6,1,11H,152,36,,4/28/2021 0:00,4/27/2021 14:51,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G721809A6,B,6,1,11H,168,47.5,,4/28/2021 0:00,4/27/2021 15:20,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72247EBD,B,1,1,11H,140,31.5,,4/28/2021 0:00,4/27/2021 15:12,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72249889,B,3,1,11H,179,58.5,,4/28/2021 0:00,4/27/2021 14:42,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7239159D,B,8,1,11H,150,36,,4/28/2021 0:00,4/27/2021 15:24,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G723DAEB4,B,4,1,11W,153,38.5,,4/28/2021 0:00,4/27/2021 15:17,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G723E0CF2,B,12,1,11H,149,35,,4/28/2021 0:00,4/27/2021 15:07,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G723FCDA2,B,11,1,11H,129,21,,4/28/2021 0:00,4/27/2021 15:07,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7246CDA6,B,6,1,11H,149,31.5,,4/28/2021 0:00,4/27/2021 14:51,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7249BB9B,B,5,1,11H,144,31.5,,4/28/2021 0:00,4/27/2021 14:49,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7249CF02,B,9,1,11H,145,31,,4/28/2021 0:00,4/27/2021 15:01,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G724F834D,B,9,1,11H,158,35,,4/28/2021 0:00,4/27/2021 15:25,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G725550F3,B,3,1,11H,153,36,,4/28/2021 0:00,4/27/2021 14:43,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G725680F1,B,7,1,11H,165,46.5,,4/28/2021 0:00,4/27/2021 15:21,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72609636,B,10,1,11W,131,23.5,,4/28/2021 0:00,4/27/2021 15:04,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G726C7F0E,B,3,1,11H,162,41.5,,4/28/2021 0:00,4/27/2021 15:14,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G726FD58A,B,8,1,11H,162,42,,4/28/2021 0:00,4/27/2021 14:59,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G726FEF4A,B,7,1,11H,152,36,,4/28/2021 0:00,4/27/2021 14:54,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G727144F5,B,5,1,11H,174,53.5,,4/28/2021 0:00,4/27/2021 15:18,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72723506,B,11,1,11H,165,40.5,,4/28/2021 0:00,4/27/2021 15:06,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7279C40F,B,6,1,11H,162,44.5,,4/28/2021 0:00,4/27/2021 15:19,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G728DFD8F,B,5,1,11H,142,33,,4/28/2021 0:00,4/27/2021 14:48,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G728F0714,B,1,1,11H,160,36.5,,4/28/2021 0:00,4/27/2021 14:34,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7291B1CB,B,1,1,11H,171,49.5,,4/28/2021 0:00,4/27/2021 14:36,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G7295085E,B,8,1,11H,185,61,,4/28/2021 0:00,4/27/2021 14:56,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72A2E168,B,3,1,11H,173,51.5,,4/28/2021 0:00,4/27/2021 15:12,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72AA2E95,B,4,1,11H,177,54.5,,4/28/2021 0:00,4/27/2021 14:47,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72AB09F1,B,9,1,11H,160,40,,4/28/2021 0:00,4/27/2021 15:24,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72AEE8B9,B,12,1,11H,148,35,,4/28/2021 0:00,4/27/2021 15:08,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72AFC71F,B,1,1,11H,162,42.5,,4/28/2021 0:00,4/27/2021 15:09,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72B6640C,B,8,1,11H,198,83.5,,4/28/2021 0:00,4/27/2021 15:23,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72B86EAE,B,9,1,11H,159,43.5,,4/28/2021 0:00,4/27/2021 15:00,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72B90F51,B,2,1,11H,200,79,,4/28/2021 0:00,4/27/2021 14:39,4/29/2021 9:00,Rocky Reach Tailrace,762,0,RR04
G72042924,B,7,1,11H,155,35.5,,4/30/2021 0:00,4/29/2021 11:57,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72051BE2,B,2,1,11W,147,35.5,,4/30/2021 0:00,4/29/2021 12:05,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7207A2DD,B,8,1,11H,158,39,,4/30/2021 0:00,4/29/2021 12:16,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7208F59D,B,8,1,11H,132,25,,4/30/2021 0:00,4/29/2021 11:58,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7209AB9D,B,2,1,11H,162,45,,4/30/2021 0:00,4/29/2021 12:05,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G720A10DA,B,4,1,11H,138,28.5,,4/30/2021 0:00,4/29/2021 11:52,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72183BA4,B,4,1,11W,129,22,,4/30/2021 0:00,4/29/2021 11:52,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G721C5D27,B,7,1,11H,146,30,,4/30/2021 0:00,4/29/2021 11:58,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G721D2EF9,B,9,1,11H,129,23.5,,4/30/2021 0:00,4/29/2021 12:19,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7221291A,B,4,1,11H,138,29,,4/30/2021 0:00,4/29/2021 12:08,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7221D0F2,B,2,1,11H,152,37,,4/30/2021 0:00,4/29/2021 11:49,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7229F4C6,B,6,1,11H,146,29.5,,4/30/2021 0:00,4/29/2021 11:57,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G722BCD75,B,8,1,11W,160,43,,4/30/2021 0:00,4/29/2021 11:59,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G722C7816,B,7,1,11H,129,21.5,,4/30/2021 0:00,4/29/2021 12:14,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G722D9624,B,6,1,11H,158,40,,4/30/2021 0:00,4/29/2021 11:56,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72374219,B,3,1,11H,153,37.5,,4/30/2021 0:00,4/29/2021 12:06,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7237C6F4,B,7,1,11H,142,31.5,,4/30/2021 0:00,4/29/2021 12:13,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7240D2D0,B,5,1,11H,131,24,,4/30/2021 0:00,4/29/2021 11:53,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7244171E,B,2,1,11W,129,22,,4/30/2021 0:00,4/29/2021 11:48,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7246BFE2,B,1,1,11H,152,33.5,,4/30/2021 0:00,4/29/2021 11:46,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72470B75,B,4,1,11H,138,26.5,,4/30/2021 0:00,4/29/2021 12:09,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7249B0BB,B,6,1,11H,155,36.5,,4/30/2021 0:00,4/29/2021 12:12,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G724BD7CC,B,3,1,11H,174,54.5,,4/30/2021 0:00,4/29/2021 11:50,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72613BA0,B,3,1,11H,131,23,,4/30/2021 0:00,4/29/2021 11:50,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G726A393F,B,10,1,11H,150,34.5,,4/30/2021 0:00,4/29/2021 12:01,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G7273F508,B,6,1,11H,151,34.5,,4/30/2021 0:00,4/29/2021 12:11,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72770B58,B,10,1,11H,162,46.5,,4/30/2021 0:00,4/29/2021 12:01,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G727B96F9,B,9,1,11H,136,27.5,,4/30/2021 0:00,4/29/2021 12:00,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
G72832965,B,3,1,11H,155,39,,4/30/2021 0:00,4/29/2021 12:07,5/1/2021 8:57,Rocky Reach Tailrace,762,0,RR05
