tag_life_days
3.8
5.07
12.41
14.42
18.46
18.97
19.55
19.91
22.9
25.78
28.43
28.48
28.98
29.52
30.29
30.42
30.69
31
31.23
31.32
31.38
31.6
31.81
31.83
32.61
32.64
33.21
33.33
33.4
33.43
33.63
33.68
33.7
33.86
34.21
34.34
34.56
34.61
34.75
34.84
34.89
34.97
35.68
35.75
35.86
35.96
36.34
36.46
36.46
36.6
36.6
36.66
36.66
37.07
37.17
37.24
37.32
37.38
37.48
37.59
37.6
37.64
37.74
37.75
37.8
37.92
38.04
38.05
38.36
38.46
38.64
38.73
38.81
38.96
39.35
39.37
39.48
39.78
39.81
39.84
40.02
40.05
40.09
40.17
40.34
40.42
40.49
40.72
40.75
40.85
40.96
41.14
41.21
41.27
41.37
41.43
41.45
41.78
41.81
42.44
42.81
42.82
42.88
43.31
43.67
44.34
44.6
44.64
44.83
45.18
45.77
45.9
46.08
46.26
46.29
46.41
46.44
46.52
47.52
48.8
49.12
67.57
67.85
80.8
